,Year,Eteläinen,Eteläinen_Low_CI,Eteläinen_High_CI
0,2015,106935,106935.0,106935.0
1,2016,108770,108770.0,108770.0
2,2017,109874,109874.0,109874.0
3,2018,112100,112100.0,112100.0
4,2019,113277,113277.0,113277.0
5,2020,115427,115427.0,115427.0
6,2021,117105,117105.0,117105.0
7,2022,118588,118588.0,118588.0
8,2023,123055,123055.0,123055.0
9,2024,124110,120738.42556011824,127481.57443988176
10,2025,124900,120131.87370056876,129668.12629943124
11,2026,125037,119197.26176862424,130876.73823137576
12,2027,125863,119119.8511202365,132606.1488797635
13,2028,126769,119229.93036122364,134308.06963877636
14,2029,127123,118864.36299247971,135381.6370075203
15,2030,127600,118679.652505331,136520.347494669
16,2031,128465,118928.74740113752,138001.25259886248
17,2032,129540,119425.27668035474,139654.72331964524
18,2033,130502,119840.14546916724,141163.8545308328
19,2034,131567,120384.75263015956,142749.24736984045
20,2035,132410,120730.52353724846,144089.47646275154
21,2036,132813,120656.61547796256,144969.38452203744
