,Year,Kaakkoinen,Kaakkoinen_Low_CI,Kaakkoinen_High_CI
0,2015,48567,48567.0,48567.0
1,2016,49699,49699.0,49699.0
2,2017,51220,51220.0,51220.0
3,2018,52280,52280.0,52280.0
4,2019,53985,53985.0,53985.0
5,2020,55927,55927.0,55927.0
6,2021,57884,57884.0,57884.0
7,2022,59009,59009.0,59009.0
8,2023,57701,57701.0,57701.0
9,2024,58816,56325.21336392328,61306.78663607672
10,2025,59585,56062.49575828265,63107.50424171735
11,2026,61163,56848.83099550155,65477.16900449845
12,2027,62581,57599.42672784656,67562.57327215344
13,2028,64139,58569.431764284425,69708.56823571557
14,2029,65824,59722.84368346866,71925.15631653134
15,2030,67380,60789.99799201785,73970.00200798214
16,2031,68407,61361.991516565286,75452.0084834347
17,2032,69125,61652.64009176984,76597.35990823017
18,2033,69433,61556.44106448864,77309.55893551136
19,2034,69939,61677.99529530202,78200.00470469799
20,2035,70614,61985.6619910031,79242.3380089969
21,2036,71429,62448.34106738492,80409.65893261509
