,Year,Läntinen,Läntinen_Low_CI,Läntinen_High_CI
0,2015,103606,103606.0,103606.0
1,2016,103396,103396.0,103396.0
2,2017,103209,103209.0,103209.0
3,2018,103413,103413.0,103413.0
4,2019,104669,104669.0,104669.0
5,2020,104753,104753.0,104753.0
6,2021,104976,104976.0,104976.0
7,2022,105484,105484.0,105484.0
8,2023,112782,112782.0,112782.0
9,2024,113619,111672.38058920432,115565.61941079568
10,2025,114919,112166.06442847404,117671.93557152596
11,2026,116135,112763.3562775021,119506.6437224979
12,2027,117513,113619.76117840863,121406.23882159137
13,2028,118527,114174.22667114028,122879.77332885972
14,2029,119555,114786.77572015335,124323.22427984665
15,2030,120277,115126.72914174356,125427.27085825644
16,2031,120763,115257.12885694808,126268.87114305192
17,2032,120968,115128.14176761298,126807.85823238702
18,2033,121154,114998.2489243907,127309.7510756093
19,2034,121666,115209.79380476804,128122.20619523196
20,2035,122581,115837.7125550042,129324.2874449958
21,2036,123829,116810.3639005627,130847.6360994373
