,population,district,num_apartments
0,108770,Eteläinen,1211.0
1,109874,Eteläinen,1810.0
2,112100,Eteläinen,820.0
3,113277,Eteläinen,1201.0
4,108996,Itäinen,686.0
5,110643,Itäinen,878.0
6,111339,Itäinen,517.0
7,111876,Itäinen,859.0
8,49699,Kaakkoinen,870.0
9,51220,Kaakkoinen,607.0
10,52280,Kaakkoinen,901.0
11,53985,Kaakkoinen,1311.0
12,87445,Keskinen,584.0
13,88577,Keskinen,245.0
14,90222,Keskinen,1072.0
15,91535,Keskinen,1414.0
16,98599,Koillinen,223.0
17,98914,Koillinen,687.0
18,98911,Koillinen,643.0
19,98547,Koillinen,345.0
20,103396,Läntinen,551.0
21,103209,Läntinen,273.0
22,103413,Läntinen,438.0
23,104669,Läntinen,614.0
24,2048,Östersundomin,3.0
25,2016,Östersundomin,1.0
26,2091,Östersundomin,2.0
27,41244,Pohjoinen,267.0
28,41371,Pohjoinen,389.0
29,41178,Pohjoinen,408.0
30,41022,Pohjoinen,992.0
