,Eteläinen,Eteläinen_Low_CI,Eteläinen_High_CI
2015,106935,106935.0,106935.0
2016,108770,108770.0,108770.0
2017,109874,109874.0,109874.0
2018,112100,112100.0,112100.0
2019,113277,113277.0,113277.0
2020,115427,115427.0,115427.0
2021,117105,117105.0,117105.0
2022,118588,118588.0,118588.0
2023,123055,123055.0,123055.0
2024,124110,120738.42556011825,127481.57443988175
2025,124900,120131.87370056876,129668.12629943124
2026,125037,119197.26176862423,130876.73823137577
2027,125863,119119.8511202365,132606.1488797635
2028,126769,119229.93036122363,134308.06963877636
2029,127123,118864.36299247971,135381.6370075203
2030,127600,118679.652505331,136520.347494669
2031,128465,118928.74740113752,138001.25259886248
2032,129540,119425.27668035474,139654.72331964524
2033,130502,119840.14546916723,141163.8545308328
2034,131567,120384.75263015956,142749.24736984045
2035,132410,120730.52353724846,144089.47646275154
2036,132813,120656.61547796256,144969.38452203744
