,Eteläinen,Läntinen,Keskinen,Pohjoinen,Koillinen,Kaakkoinen,Itäinen,Östersundomin
2015,106935,103606,86193,41398,98301,48567,107480,2096
2016,108770,103396,87445,41244,98599,49699,108996,2048
2017,109874,103209,88577,41371,98914,51220,110643,2016
2018,112100,103413,90222,41178,98911,52280,111339,2091
2019,113277,104669,91535,41022,98547,53985,111876,2360
2020,115427,104753,92763,40791,98003,55927,112578,2804
2021,117105,104976,94121,40507,97263,57884,113153,3824
2022,118588,105484,95004,40222,96368,59009,113947,5322
2023,123055,112782,103446,43658,99946,57701,114283,1758
2024,124110,113619,106229,44032,100182,58816,114876,1747
2025,124900,114919,109316,44467,100158,59585,115503,1775
2026,125037,116135,111852,44584,100930,61163,116134,1804
2027,125863,117513,113443,44391,101905,62581,116931,1995
2028,126769,118527,115332,44244,102873,64139,117531,2156
2029,127123,119555,117102,43990,104142,65824,118430,2300
2030,127600,120277,118979,43807,105199,67380,119601,2447
2031,128465,120763,121187,43548,105866,68407,121253,2554
2032,129540,120968,123277,43581,106843,69125,122825,2572
2033,130502,121154,125689,43639,108109,69433,124253,2581
2034,131567,121666,127839,43725,109548,69939,125060,2590
2035,132410,122581,129875,43912,111087,70614,125385,2596
2036,132813,123829,131586,44260,112964,71429,125467,2600
